,x [m],y [m]
59,1218.997785,-23.83882556
60,1166.294325,78.65029654
61,1109.961338,183.8882054
62,1068.057515,261.1233095
63,864.0393226,261.629881
64,722.0851266,263.1536326
65,677.6102688,262.7208845
66,677.0023679,145.3418668
67,675.3959135,21.12005032
68,675.030374,-7.851924546
69,663.2246007,-10.42658214
70,662.3553298,7.082506162
71,646.3104439,3.945090568
72,646.4502514,-8.439563909
73,600.9725744,10.27556114
74,583.5490319,12.97079017
75,504.72556,13.92697729
76,383.958288,13.31731115
77,251.8905313,10.63027633
78,249.7315379,-26.84398505
79,153.668836,-24.35356047
80,3.509379008,-22.73151775
81,-144.1644586,-23.17291051
82,-193.7663451,-22.77008864
83,-251.0472409,-22.32139044
84,-345.2832113,-20.73076763
85,-344.1569868,61.82085126
86,-374.8688739,60.49976229
87,-375.1766333,53.48048454
88,-379.7615217,-64.24304526
89,-381.3955851,-136.5069263
90,-383.9461466,-209.7329182
91,-386.9165385,-296.3165641
92,-364.4168104,-358.0444786
93,-353.178658,-378.841122
94,-293.3071574,-416.1962156
95,-216.1066129,-468.4356392
96,-167.1205005,-503.4312775
97,-169.8661798,-512.3722085
98,-157.4026151,-519.0902268
203,-480.310316,-468.8792341
204,-489.0742674,-439.8324031
205,-490.6505799,-423.0147996
206,-500.7573517,-409.2102426
207,-513.4655596,-405.0258324
208,-531.4924324,-379.2183591
209,-526.3236243,-368.3390268
210,-522.430759,-343.9553476
211,-529.7052536,-326.5999135
212,-525.0323334,-206.6245963
213,-521.5579261,-148.0027099
214,-521.4727462,-78.52696277
215,-528.073621,-78.82856133
216,-540.713453,-79.40616737
217,-540.7405008,-104.834938
218,-540.8243323,-176.2117573
219,-614.8216524,-176.7978975
220,-638.4384833,-25.75670054
221,-652.2280537,63.28448482
222,-667.2348442,161.3960989
223,-669.5592358,187.7770951
224,-695.6430526,200.8058119
225,-686.3995687,208.4801974
226,-772.9892403,300.527638
227,-849.220201,382.8860931
228,-858.2733705,377.7564396
229,-957.5313784,485.1721526
230,-994.4011028,525.0748065
231,-1047.514555,582.4630905
232,-1107.329641,527.2149048
233,-1019.484374,434.7208723
234,-878.1693875,356.9990067
235,-833.6526002,311.3809599
236,-753.0916207,224.3642166
237,-703.1130178,170.5399494
238,-752.2539243,82.56595403
239,-793.7189633,106.4496568
240,-830.0828733,126.6557021
241,-945.1087675,190.5641349
242,-996.2843372,217.5921599
243,-1006.865325,200.54891
244,-884.4006662,132.9491282
245,-802.3500613,86.39161197
246,-762.4766122,65.90491578
247,-837.9596731,-65.96522471
248,-968.0489469,7.503551068
249,-1108.063503,86.23481201
250,-1132.145848,99.77569498
251,-1272.547867,178.065531
252,-1399.514683,248.552577
253,-1348.946288,336.7009407
448,-593.8757751,312.1124091
449,-377.9810343,313.9146155
450,-304.3521918,316.7314505
451,-215.2386161,317.657358
452,-185.907971,315.4461154
453,-132.2123882,316.7492346
454,6.467709754,351.5400439
455,129.1157486,387.0177946
456,260.0225563,415.6359741
457,367.4745328,443.8103756
458,475.4465209,443.8103756
437,475.4465209,560.8073043
438,476.167999,558.7354007
439,324.4803463,557.5848621
440,236.543182,554.5665925
441,56.83973507,895.5786436
442,54.46720607,890.2387854
443,-256.9712576,889.4490955
444,-304.8054507,887.3747875
445,-436.8252519,531.7045806
446,-439.5981186,530.6297574
447,-591.0523943,493.2619571
448,-593.8757751,336.7009407
,-593.8757751,-600
,1218.997785,-600
,1218.997785,-23.83882556
